,Event ID,Database,State,AllComments,year_storm,flash_flood_present,wind_speed
37,23389,Wind,NSW,"48 knot wind gust associated with a weak, but fast moving radar echo.",2007,FALSE,48 knot
38,23390,Wind,NSW,50 knot gusts recorded at the AWS near fast moving thunderstorm activity.,2007,FALSE,50 knot
39,23392,Rain,NSW,"Verandah flooded with 19mm in 10mins. Tree branch down 12cm in diameter. Wind gusts estimated to 75km/h. Small hail possibly heard, but not seen.",2007,FALSE,75km/h
40,23398,Wind,NSW,"Estimated wind gusts of 100km/h by Michael Bath in the outskirts of Lismore. This report also included giant hail, and 20mm of rain in 10 mins.",2007,FALSE,100km/h
41,23399,Hail,NSW,"Alan Hunter reported golf call sized hail, with heavy rain and wind gusts estimated at 70-80 km/h, in the second severe storm for the afternoon.",2007,FALSE,80 km/h
42,23400,Wind,NSW,53 knot wind gust from a thunderstorm at 19:32 local.,2007,FALSE,53 knot
43,23400,Wind,NSW,"Robert Smith reported a wind gust to 113 km/h on his Davis Weather Monitor II at 19:24 local. A few trees were blown down, and there was a bit of outdoor structural damage.",2007,FALSE,113 km/h
44,23405,Wind,NSW,"B Jensen reported a very heavy squall, visibility down to 20 metres for about a minute. Wind gust estimated at 100km/h. Rainfall and flash flooding also included in this report.",2007,TRUE,100km/h
45,23411,Wind,NSW,50 knot wind gusts recorded at Griffith AWS.,2007,FALSE,50 knot
46,23426,Wind,NSW,"Spotter report from Michael Chester at Cootamundra of wind gusts estimated to 100km/hr. Observed large branches down, trees snapped, uprooted roofing tiles and lifted iron. Strong wind gusts lasted for about 10 minutes. This report also included heavy rainfall.",2007,FALSE,100km/hr
47,23436,Wind,NSW,"Spotter report fron Bruce Donaldson of damaging winds, with gust strength estrimated at 93km/hr.",2007,FALSE,93km/hr
48,23436,Wind,NSW,48 knot wind gusts recorded from a thunderstorm at Nobby's Head AWS.,2007,FALSE,48 knot
49,23446,Wind,NSW,50 knot gust from a thunderstorm at the Moree AWS.,2007,FALSE,50 knot
50,23447,Wind,NSW,55 knot gusts recorded at Parkes AWS from a squally line of thunderstorms.,2007,FALSE,55 knot
51,23452,Wind,NSW,Spotter report of straight line wind gusts 80-90km/h.,2007,FALSE,90km/h
52,23452,Rain,NSW,"Flash flooding report at Booragul (Northern Lake Maqcuarie), with roads awash from heavy rain. Wind gusts estimated at 75km/h.",2007,TRUE,75km/h
53,23452,Wind,NSW,Spotter report of wind gusts to at least 90km/h at Kahibah. This report also included small hail and heavy rainfall.,2007,FALSE,90km/h
54,23452,Wind,NSW,48 knot gust recorded at the AWS on Nobbys Head.,2007,FALSE,48 knot
55,23455,Wind,NSW,50 knot wind gust recorded at Coonamble Airport AWS.,2007,FALSE,50 knot
56,23458,Wind,NSW,59 knot wind gust (109km/h) recorded from a supercell thunderstorm at Deniliquin Airport AWS.,2007,FALSE,59 knot
57,23459,Wind,NSW,"Spotter estimated wind gusts of 120km/h from thunderstorm activity. Large branches down, trees snapped and uprooted, roof iron lifted, and structural damage to buildings all reported. Power and phone outages. Spotter reported a 'massive duststorm' from 3:30Z to 4:40Z, including the time of the storm. No hail, and only a small amount of rain indicated.",2007,FALSE,120km/h
58,23459,Wind,NSW,"SES reported major damage to the public hospital, with a section of roof completely lifted, from a thunderstorm at Broken Hill. Wind gusts to 127km/h recorded. 75 RFAs received for roof/window/skylight damage as of 5:30pm.",2007,FALSE,127km/h
59,23459,Wind,NSW,"Destructive wind gusts of up to 65 knots (120km/h) recorded from storm activity at Broken Hill Airport AWS, with the mean wind reaching 47 knots at 04:59Z.",2007,FALSE,65 knot
60,23460,Wind,NSW,56 knot gusts recorded from thunderstorm activity at Wilcannia Airport AWS.,2007,FALSE,56 knot
61,23461,Wind,NSW,51 knot wind gusts associated with storm activity recorded at Fowlers Gap AWS.,2007,FALSE,51 knot
62,23462,Wind,NSW,54 knot wind gusts from storm activity recorded at Ivanhoe Aerodrome AWS.,2007,FALSE,54 knot
63,23463,Wind,NSW,52 knot wind gusts associated with storm activity recorded at Forbes Airport AWS.,2007,FALSE,52 knot
64,23465,Wind,NSW,49 knot wind gusts recorded from thunderstorm activity at Fowlers Gap AWS in the early hours of the morning.,2007,FALSE,49 knot
65,23470,Wind,NSW,49 knot wind gusts reported from a squall line passing through Deniliquin.,2008,FALSE,49 knot
66,23472,Wind,NSW,55 knot wind gust recorded from a large thunderstorm at Penrith Lakes AWS.,2008,FALSE,55 knot
67,23474,Rain,NSW,Spotter report from M Hancock of heavy rainfall and flash flooding from a thunderstorm at Dubbo. Rainfall estimated at 30mm in 30 mins. Wind gusts estimated at 50km/h from the NE.,2008,TRUE,50km/h
68,23474,Rain,NSW,38mm recorded in 30 minutes at Dubbo Airport AWS from a thunderstorm. This exceeds flash flood criteria. Wind gusts to 44 knots.,2008,TRUE,44 knot
69,23476,Wind,NSW,Spotter estimated 100km/h wind gust from a thunderstorm. This report also included large hail.,2008,FALSE,100km/h
70,23478,Wind,NSW,50 knot wind gust recorded from a thunderstorm at Coonabarabran Airport AWS.,2008,FALSE,50 knot
71,23480,Rain,NSW,About 35mm or rainfall from a thunderstorm in half an hour at Bellambi AWS. This just reaches flash flooding criteria. Wind gust to 39 knots.,2008,TRUE,39 knot
72,23481,Wind,NSW,52 knot wind gust recorded from thunderstorms at Holworthy Range AWS.,2008,FALSE,52 knot
73,23482,Wind,NSW,Spotter estimate of a 90km/hr wind gust from a thunderstorm at Quakers Hill.,2008,FALSE,90km/hr
74,23483,Wind,NSW,50 knot wind gusts recorded from a thunderstorm at Tamworth Airport AWS.,2008,FALSE,50 knot
75,23493,Wind,NSW,52 knot wind gust recorded from a thunderstorm at Newcastle Nobbys Signal Station AWS. The AWS also recorded 12mm in 10 minutes on this observation.,2008,FALSE,52 knot
76,23498,Rain,NSW,"Spotter report (Bruce Donaldson) of 53mm in 21 minutes at Kahibah, just southwest of the Newcastle CBD. This easily exceeds flash flood thresholds. Maximum wind gust estimated at 85km/h (not severe).",2008,TRUE,85km/h
77,23499,Wind,NSW,Spotter report (Brian Byles) of an estimated 90 km/h wind gust from the SW associated with a thunderstorm. This report also included heavy rain.,2008,FALSE,90 km/h
78,23500,Wind,NSW,49 knot wind gusts recorded from a thunderstorm at Kiama AWS.,2008,FALSE,49 knot
79,23501,Rain,NSW,"Spotter report (Doug Banks) of flash flooding in Broken Hill, with roads flooded in town. Rainfall recorded was only 10.7mm in 2 hours, but this was probably not representative of the heaviest rain. Spotter reported a large amount of raised dust embedded in the early part of the storm, with wind gusts estimated to 60km/h from the NE.",2008,TRUE,60km/h
80,23509,Wind,NSW,53 knot wind gust recorded from a thunderstorm at Wattamolla AWS.,2008,FALSE,53 knot
81,23512,Wind,NSW,55 knot gusts recorded from a thunderstorm near Condobolin Airport AWS.,2008,FALSE,55 knot
82,23512,Wind,NSW,49 knot wind gusts recorded from a thunderstorm near Forbes Airport AWS.,2008,FALSE,49 knot
83,23516,Wind,NSW,"YBNA automatic weather station recorded 51 knot gusts from a fast moving thunderstorm. Small hail associated with the storm, diameter 3mm, was reported in by a storm spotter.",2008,FALSE,51 knot
84,23519,Hail,NSW,Hail reported at just above golf ball size. This report also included wind estimated at exceeding 80 km/h and rainfall causing gutters to overflow.,2008,FALSE,80 km/h
85,23520,Wind,NSW,50 knot wind gust recorded from fast moving thunderstorms at Narrandera Airport.,2008,FALSE,50 knot
86,23521,Wind,NSW,Wind gusts to 67 knots recorded from a squall line of storms at Thredbo Top AWS.,2008,FALSE,67 knot
87,23522,Wind,NSW,51 knot wind gust recorded from a line of storms at Mount Ginini AWS.,2008,FALSE,51 knot
88,23523,Wind,NSW,56 knot wind gust recorded from a thunderstorm at Cabramurra.,2008,FALSE,56 knot
89,23524,Wind,NSW,53 knot wind gust from thunderstorm activity at Mount Ginini AWS.,2008,FALSE,53 knot
90,23525,Wind,NSW,50 knot wind gust recorded from a thunderstorm at Mount Boyce AWS.,2008,FALSE,50 knot
91,23527,Hail,NSW,Spotter report (Gordon Garrett) of 2cm hail from a thunderstorm. Estimated wind gusts to 50km/h with the storm.,2008,FALSE,50km/h
92,23530,Wind,NSW,53 knot wind gust recorded from thunderstorms near Broken Hill Airport AWS. SES received 50 call outs for damage related to this gust.,2008,FALSE,53 knot
93,23531,Wind,NSW,"Wind gusts from a thunderstorm recorded at Hay AWS, with a maximum gust of 56 knots.",2008,FALSE,56 knot
94,23532,Wind,NSW,Wind gust of 63 knots recorded at Broken Hill Airport AWS.,2008,FALSE,63 knot
95,23533,Wind,NSW,Wind gusts to 54 knots reported at Goulburn Airport AWS ahead of an approaching line of thunderstorms.,2008,FALSE,54 knot
96,23534,Wind,NSW,"Wind gusts up to 60 knots recorded at Tibooburra Airport AWS, most likely due to nearby thunderstorm activity.",2008,FALSE,60 knot
97,23535,Wind,NSW,Wind gusts up to 58 knots recorded from thunderstorms at White Cliffs AWS.,2008,FALSE,58 knot
98,23536,Wind,NSW,49 knot wind gust recorded from thunderstorms at West Wyalong Airport AWS.,2008,FALSE,49 knot
99,23537,Wind,NSW,"Reports of a roof blown off a school at Bourke, with about 13 wind related jobs fielded by the SES. The Bourke Airport AWS recorded a wind gust of 44 knots - the time of this gust was assumed to be valid for the storm in town.",2008,FALSE,44 knot
100,23538,Wind,NSW,"45 knot gust at Penrith (not severe) at 1520 local time. 47 knot gust Nobby Head 17:08.  (Also a 2nd line of showers (no TS) through from 51 kts at Wollongong at 17:59 local, through to North Head in Sydney Harbour at 19:17 local)",2008,FALSE,45 knot
101,23572,Hail,NSW,This storm also produced a 37kt wind gust at the AWS.,2008,FALSE,37kt
102,23579,Wind,NSW,"Mean wind was recorded at 0339UTC, 50kt gusts were recorded at 0333 and 0346UTC.",2008,FALSE,50kt
103,23602,Hail,NSW,Timing taken from radar image. Wind gusts were estimated at 80-100km/hr.,2008,FALSE,100km/hr
104,23610,Hail,NSW,Most of the hail was 4-5cm with the odd 6cm stone. Winds estimated at 80km/hr. 30mm in 15mins.,2008,FALSE,80km/hr
105,23610,Rain,NSW,"Also reported was hail to 6cm, and winds estimated at 80km/hr.",2008,FALSE,80km/hr
106,23671,Wind,NSW,Camden Airport Tower passing on a report (From a pilot?) of 50kt wind gust.  LGA: Sydney,2009,FALSE,50kt
107,23673,Wind,NSW,1cm hail also reported with this 51kt gust.,2009,FALSE,51kt
108,23673,Wind,NSW,"Report from anemometers located on Sydney Airport runways.  16L 49kt (northern end), 16R 46kt (southern end).  Report passed on by forecasters/observers at Sydney Airport. LGA: Sydney",2009,FALSE,49kt
109,23688,Wind,NSW,Newcastle Nobbys Signal Station AWS reported severe wind gust of 50kt near a shower/thunderstorm. Ocean Gale warning was current for South Coast waters.  Land Gale warnings were also current for Hunter and Illawarra district on this day.  So generally windy conditions in the central and southeast parts of the coast.  Sydney Airport and Wollongong AWS both reported severe gusts on this day with only showers in the vicinity. LGA: Greater Newcastle,2009,FALSE,50kt
110,23701,Wind,NSW,"Spotter on an 8 tonne boat off Clareville on Pittwater.  Estimates squally winds at over 55kt, turned boat on its side (righted itself).  Another boat crew estimated 150km/h (or 81kt).",2009,FALSE,55kt
111,23708,Wind,NSW,"Spotter Halden Boyd at Evans Head reported estimated 50 knot wind gust (almost blown off his feet), a couple of trees down nearby.",2009,FALSE,50 knot
112,23710,Wind,NSW,105km/h wind reported by spotter at Nambucca Heads at 11pm local on 14/12/09.,2009,FALSE,105km/h
113,23712,Wind,NSW,52 knot gust recorded by Narrandera AWS at 0319 UTC.,2009,FALSE,52 knot
114,23713,Wind,NSW,52 knot gust recorded by Narrandera AWS at 0402 UTC.,2009,FALSE,52 knot
115,23714,Wind,NSW,58 knot gust recorded by Albury airport AWS at 0346 UTC.,2009,FALSE,58 knot
116,23715,Wind,NSW,49 knot gust recorded by Albury airport AWS at 0357 UTC.,2009,FALSE,49 knot
117,23716,Wind,NSW,49 knot gust recorded by Hay airport AWS at 0313 UTC.,2009,FALSE,49 knot
118,23717,Wind,NSW,48 knot gust recorded by Yanco Ag Institute AWS at 0442 UTC.,2009,FALSE,48 knot
119,23718,Wind,NSW,54 knot gust recorded by Wagga Wagga airport AWS at 0523 UTC.,2009,FALSE,54 knot
120,23719,Wind,NSW,54 knot gust recorded by Forbes AWS at 0652 UTC.,2009,FALSE,54 knot
121,23720,Wind,NSW,61 knot wind gust recorded by Wilcannia airport AWS at 0602 UTC.,2009,FALSE,61 knot
122,23727,Wind,NSW,51 knot  gust recorded at Wagga Wagga airport AWS at 0043 UTC on 5/1/10.,2010,FALSE,51 knot
123,23733,Wind,NSW,"Roof damage from severe winds with a thunderstorm at Coonabarabran on 10/1/10 reported by the SES, time was probably roughly 6pm local (42 knot gust at 6:17pm). Water damage also reported - may have been heavy (severe) rain or just moderate rain after roof damage occurred.",2010,FALSE,42 knot
124,23734,Wind,NSW,49 knot wind gust reported at 0746 UTC followed by 50kt gust at 0805 UTC on 13/1/10 at Gunnedah airport AWS.,2010,FALSE,49 knot
125,23740,Wind,NSW,48 knot gust recorded at Murrurundi AWS at 0438 UTC on 17/1/10.,2010,FALSE,48 knot
126,23740,Wind,NSW,50 knot gust recorded at Scone AWS at 0457 UTC on 17/1/10.,2010,FALSE,50 knot
127,23744,Wind,NSW,49 knot wind gust reported from Casino airport AWS at 0504Z on 27/1/10.,2010,FALSE,49 knot
128,23744,Wind,NSW,Storm spotter reported winds around 100-110 km/h (estimated) at Fernside (10km west of Lismore) on 27/1/10. Time estimated as 0520Z from radar.,2010,FALSE,110 km/h
129,23748,Wind,NSW,49 knot wind gust recorded at Cessnock airport AWS at 0914 UTC on 29/1/10.,2010,FALSE,49 knot
130,23750,Wind,NSW,"Winds from a storm at Loomberah at 6:30pm (local) on 28/1/10 estimated at 75km/h (below severe threshold) but results suggested higher peak speed at least somewhere nearby - BBQ, table and chairs in garden blown over and also caused a power outage.",2010,FALSE,75km/h
131,23752,Wind,NSW,55 knot wind gust recorded at Dubbo airport AWS at 0848 UTC on 31/1/10.,2010,FALSE,55 knot
132,23758,Wind,NSW,Storm spotter reported 2nd hand a friend at Numeralla saw trees down and estimated 100 km/h winds in a thunderstorm on 10/2/10. Time estimated to be about 0510 UTC from radar.,2010,FALSE,100 km/h
133,23760,Wind,NSW,56 knot wind gust recorded at Kiama AWS at 0500 UTC on 12/2/10.,2010,FALSE,56 knot
134,23766,Wind,NSW,"95km/h wind gust measured at Australia Telescope, Culgoora (west of Narrabri) in storm which began about 3:15pm local time on 23/2/10.",2010,FALSE,95km/h
135,23767,Wind,NSW,Storm spotter reported trees blown down by strong winds in a storm lasting 30 minutes starting about 6:30pm local time at Wllobrook on 23/2/10. Spotter claims to have estimated the strongest wind speed at 103 km/h. Rounded it to 100 km/h (54 knots).,2010,FALSE,103 km/h
136,23768,Wind,NSW,52 knot gust recorded at White Cliffs at 0601 UTC on 26/2/10.,2010,FALSE,52 knot
137,23769,Wind,NSW,55 knot gust recorded at White Cliffs at 0745 UTC on 26/2/10.,2010,FALSE,55 knot
138,23776,Wind,NSW,48 knot wind gust from supercell thunderstorm recorded at Cape Byron AWS at 2245 UTC on 2/6/10 (morning of 3/6/10 local time).,2010,FALSE,48 knot
139,23814,Rain,NSW,"Over 30mm in 30 mins, with 40knot wind gust reported",2010,FALSE,40knot
140,23837,Hail,NSW,"Large accumulation of small hail, causing roof of cinema in Bathurst to collapse.  Also wind guts 45kt (not quite severe), rainfall recorded only approx 10 - 20mm for the 24 hours to 9am for various sites in and around Bathurst - also not quite severe.",2011,FALSE,45kt
141,23840,Wind,NSW,LGA: ACT Roof lost in Tuggeranong.  Tuggeranong AWS doesn't record any significant wind gusts.  Highest wind gust recorded 19 knots.,2011,FALSE,19 knot
142,23872,Wind,NSW,48kt gust.  Wind Averaging Period less than 10m.,2011,FALSE,48kt
143,23875,Wind,NSW,"Sev Wx logbook has 57kt gust recorded at Gunnedah, but AWS only shows 46kt gust.  Couldn't find 57kt in 3pm Synops either.  So treat this obs with caution.",2011,FALSE,57kt
144,23913,Wind,NSW,Report close enough to the 47 knots threshold.,2011,FALSE,47 knot
145,23917,Wind,NSW,Close to the 47 knots threshold and the same environment produced gusts >50 knots in the area.,2011,FALSE,47 knot
146,23919,Tornado,NSW,Tornado touched ground briefly. Strongest wind gust at least 100 km/hr.,2011,FALSE,100 km/hr
147,23920,Tornado,NSW,Tornado touched the ground briefly. Maximum wind gust of at least 100 km/hr.,2011,FALSE,100 km/hr
148,23932,Wind,NSW,Storm spotter rang Queensland RFC reporting an approximately 90km/hr wind gust at Kyogle. QLD RFC passed on the report to NSW RFC.,2011,FALSE,90km/hr
149,23956,Wind,NSW,radar velocity approximated as 50kt for around this time.,2012,FALSE,50kt
150,23987,Hail,NSW,Golf balls sized hail reported by Haldon Boyd. Also estimated 60kt winds.,2012,FALSE,60kt
151,23988,Rain,NSW,"On environmon. Reports of trees down, golf ball sized hail, and about 60kt winds from near Evans Head, not sure if the storms are same.",2012,FALSE,60kt
152,24165,Hail,NSW,LGA: Sydney. No information regarding source. Holes in windscreens reported. 79km/h winds also reported with storm.,2014,FALSE,79km/h
153,24184,Wind,NSW,"Report of many large trees were blown over. Several uprooted and others snapped the trunk just above ground level. Spotter estimated wind gust of at least 100 miles per hour (87 knots, but this seems over-exagerrated).",2014,FALSE,87 knot
154,24188,Wind,NSW,"Storm spotter Paul Buckman reported tree branches snapped, roofing tiles lifted, and structural damage to BP Clybucca Service Station, estimating max wind gusts of 90km/h. Also reported about 30mm in about 15 mins (rainfall rate just below 1 in 10 year event based on Kempsey IFD), with gutters and creeks overflowing and a total whiteout at BP Clybucca service station.",2013,FALSE,90km/h
155,24275,Wind,NSW,Spotter estimates 50 knot gust at Evans Head with a thunderstorm.,2014,FALSE,50 knot
156,24316,Wind,NSW,"uprooting trees and bringing down powerlines."" Images of large trees blown over. See%D http://www.macleayargus.com.au/story/2842677/willy-willy-strikes-at-sherwood/%D YKMP AWS reported 47kt gust at 3:55UTC.""     From the Macleay Argus (local newspaper): A POWERFUL willy-willy tore through Sherwood on Sunday afternoon",2015,FALSE,47kt
157,24320,Wind,NSW,Damage photos submitted via email. Inconclusive but potential tornado. At minimum can conclude TS was severe with gusts > 90km/h.,2015,FALSE,90km/h
158,24335,Wind,NSW,"Thunderstorm(s) over Corowa area between about 7pm and 8:20pm produce damage with 16 jobs reported to the SES, and NSW Fire&Rescue coordinating response. Wind most likely cause with Yarrawonga PPI showing several gust fronts over the district (and also gusts of 44kt and 41kt reported at Albury and Deniliquinn AWSs respectively about 8:30pm).",2015,FALSE,44kt
159,24336,Wind,NSW,Leigh Rainbird (storm spotter) reports 10 min avg wind speed 63 kmh. Max gust 98 km/h. Radar shows this was likely a gust front ahead of a thunderstorm squall line.,2015,FALSE,98 km/h
160,24338,Wind,NSW,51kt gust with thunderstorm at YCDO AWS.,2015,FALSE,51kt
161,24339,Wind,NSW,54kt gust with thunderstorm at YBHI AWS,2015,FALSE,54kt
162,24340,Wind,NSW,49kt gust with thunderstorm at YGTH,2015,FALSE,49kt
163,24342,Wind,NSW,Thunderstorm produces 59kt gust at YCNM AWS.,2015,FALSE,59kt
164,24345,Hail,NSW,"Thunderstorm produces report of 20c piece sized hail at Camden, 55kt gust at Campbelltown AWS.",2015,FALSE,55kt
165,24345,Wind,NSW,"Thunderstorm produces 20c piece sized hail at Camden, 55kt gust at Campbelltown AWS.",2015,FALSE,55kt
166,24346,Wind,NSW,Thunderstorm squall line produces 51kt gust at MTBO AWS,2015,FALSE,51kt
167,24347,Wind,NSW,Thunderstorm squall line produces 48kt gust at YMDG AWS,2015,FALSE,48kt
168,24350,Wind,NSW,Thunderstorm produces 61kt gust and 50mm in 30min at YGFN AWS.,2015,FALSE,61kt
169,24350,Rain,NSW,Thunderstorm produces 61kt gust and 50mm in 30min at YGFN AWS.,2015,FALSE,61kt
170,24351,Wind,NSW,LGA: Wingecarribee. Thunderstorm produces 53kt gust at MSV AWS.,2015,FALSE,53kt
171,24352,Hail,NSW,"Thunderstorm produces 2-3cm hail in Bargo (Wollondilly LGA), 36kt 10min-mean wind at Badgerys Ck (LGA: City of Liverpool) and 39mm in 30 minutes at Guilford (LGA: City of Holroyd/Parramatta).",2015,FALSE,36kt
172,24352,Wind,NSW,"Thunderstorm produces 2-3cm hail in Bargo (Wollondilly LGA), 36kt 10min-mean wind at Badgerys Ck (LGA: City of Liverpool) and 39mm in 30 minutes at Guilford (LGA: City of Holroyd/Parramatta).",2015,FALSE,36kt
173,24352,Rain,NSW,"Thunderstorm produces 2-3cm hail in Bargo (Wollondilly LGA), 36kt 10min-mean wind at Badgerys Ck (LGA: City of Liverpool) and 39mm in 30 minutes at Guilford (LGA: City of Holroyd).",2015,FALSE,36kt
174,24353,Wind,NSW,Thunderstorm produces 51kt gust at YSCO.,2015,FALSE,51kt
175,30572,Wind,VIC,"fencing blown down in East Melbourne,trees uprooted in Caulfield,Parkville,Hampton,Mt Waverly.gust of 50kt in city.Hail reported.",1977,FALSE,50kt
176,30607,Wind,VIC,"Houses unroofed, planes upended. Reports of 137 km/hr gust at Tullamarine.",1980,FALSE,137 km/hr
177,30620,Wind,VIC,"Flash flooding reported.homes unroofed,trees uprooted,hume court hostel unroofed,6 injured.Major damage path from you Yangs-Lara-Leopold-Ocean Grove.168 km/hr at Point Henry at 2005.1000's poultry killed at Lara.",1981,TRUE,168 km/hr
178,30621,Wind,VIC,"North Geelong rain intensity 11mm/5 min,20mm/1hr,46mm total. 148 km/hr at point henry. Many houses (>160) damaged by wind and flash flooding. Roads flooded.Golfer killed by lightning.",1981,TRUE,148 km/hr
179,30621,Lighting,VIC,"North Geelong rain intensity 11mm/5 min,20mm/1hr,46mm total. 148 km/hr at point henry. many houses (>160) damaged by wind and flash flooding. Roads flooded. Golfer killed by lightning.",1981,TRUE,148 km/hr
180,30622,Wind,VIC,"Wind damage to caryards on burwood hwy. 122 km/hr at laverton.Flash flooding in frankston.Roofs taken off, trees and power lines brought down.",1981,TRUE,122 km/hr
181,30622,Rain,VIC,"Wind damage to caryards on Burwood hwy. 122 km/hr at laverton.Flash flooding in frankston.Roofs taken off, trees and power lines brought down.",1981,TRUE,122 km/hr
182,30623,Wind,VIC,"111 km/hr at amml at 1715.50 dwelling damaged in Kew,Balwyn,Diamond Creek,Ascot Vale,Eltham,Sunshine,Moonee Ponds,Essendon and Footscray.",1981,FALSE,111 km/hr
183,30625,Wind,VIC,Strong winds cause damage across Metro area. 125 km/hr at Elwood at 1122am.,1981,FALSE,125 km/hr
184,30635,Wind,VIC,"SES reports houses damaged in. Cranbourne,Craigiburne,Bulla Rockbank,Black rock,altona.Gust 124 km/hr at laverton.Woman and 3 yo son killed when tree falls on car at Altona. Woman killed at black rock when struck by flying sheet of iron.",1982,FALSE,124 km/hr
185,30645,Wind,VIC,"Damage on path 2x16 km.Gusts to 63 kts reported in australian.200 homes in taylors lakes, Kealba, keilor downs and st albans damaged.2 injured by debris.",1983,FALSE,63 kts
